municipio,uf,instituto_federal,latitude,longitude
Cruzeiro do Sul,AC,IFAC,-7.636248,-72.669165
Feijó,AC,IFAC,-8.164865,-70.353958
Rio Branco,AC,IFAC,-9.976536,-67.822078
Sena Madureira,AC,IFAC,-9.065956,-68.657106
Tarauacá,AC,IFAC,-8.160202,-70.766537
Xapuri,AC,IFAC,-10.651117,-68.50179
Arapiraca,AL,IFAL,-9.754866,-36.661471
Batalha,AL,IFAL,-9.673381,-37.126548
Coruripe,AL,IFAL,-10.126684,-36.175376
Girau do Ponciano,AL,IFAL,-9.884041,-36.831592
Maceió,AL,IFAL,-9.647684,-35.733926
Maragogi,AL,IFAL,-9.011828,-35.222512
Marechal Deodoro,AL,IFAL,-9.709715,-35.896731
Mata Grande,AL,IFAL,-9.118243,-37.732298
Murici,AL,IFAL,-9.306823,-35.942798
Palmeira dos Índios,AL,IFAL,-9.407625,-36.632362
Penedo,AL,IFAL,-10.287234,-36.581926
Piranhas,AL,IFAL,-9.611558,-37.761637
Rio Largo,AL,IFAL,-9.477829,-35.839435
Santana do Ipanema,AL,IFAL,-9.369989,-37.248018
Satuba,AL,IFAL,-9.569113,-35.822697
São Miguel dos Campos,AL,IFAL,-9.783112,-36.09678
Viçosa,AL,IFAL,-9.372803,-36.243264
Coari,AM,IFAM,-4.088596,-63.143117
Eirunepé,AM,IFAM,-6.656765,-69.866161
Humaitá,AM,IFAM,-7.50994,-63.024867
Itacoatiara,AM,IFAM,-3.14779,-58.446104
Lábrea,AM,IFAM,-7.261368,-64.792451
Manacapuru,AM,IFAM,-3.299677,-60.621353
Manaus,AM,IFAM,-3.131633,-59.982504
Manicoré,AM,IFAM,-5.804618,-61.289483
Maués,AM,IFAM,-3.37958,-57.719607
Parintins,AM,IFAM,-2.634457,-56.731932
Presidente Figueiredo,AM,IFAM,-2.048636,-60.023666
Santo Antônio do Içá,AM,IFAM,-3.095443,-67.946279
São Gabriel da Cachoeira,AM,IFAM,-0.124971,-67.081385
Tabatinga,AM,IFAM,-4.224725,-69.93622
