POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;Morro da Garça;MG;Estadual;1;625.8;704.3;678.2;807.1;940.0;751.08
2;Viçosa;MG;Federal;145;628.61;678.95;652.34;776.47;884.0;724.08
3;Palmas;TO;Municipal;1;679.1;704.6;604.7;704.6;920.0;722.6
4;Bom Jesus do Norte;ES;Estadual;1;608.4;667.2;622.6;697.5;840.0;687.14
5;Siqueira Campos;PR;Privada;1;624.2;587.8;609.6;707.7;900.0;685.86
6;Angra dos Reis;RJ;Federal;19;613.39;679.35;640.74;779.43;715.79;685.74
7;Antônio Cardoso;BA;Municipal;1;610.0;638.5;610.5;673.4;880.0;682.48
8;Divinópolis;MG;Federal;72;601.58;644.68;605.59;714.95;832.5;679.86
9;Vitória;ES;Federal;241;600.51;637.88;621.63;722.48;806.06;677.71
10;Vila Velha;ES;Federal;98;599.68;636.42;614.07;690.73;822.86;672.75
11;Timóteo;MG;Federal;65;601.71;641.39;614.71;693.9;810.46;672.43
12;Venâncio Aires;RS;Privada;50;593.56;613.22;579.91;695.13;871.6;670.68
13;Estrela;RS;Privada;27;591.83;618.54;628.63;715.19;796.3;670.09
14;Acopiara;CE;Privada;9;560.91;632.41;590.67;673.21;884.44;668.33
15;Ipatinga;MG;Privada;376;579.38;612.28;592.91;688.13;863.78;667.3
16;Belo Horizonte;MG;Federal;604;597.02;638.8;609.38;707.52;772.19;664.98
17;Santa Rosa;RS;Federal;18;617.43;633.58;604.5;692.97;768.89;663.47
18;Paraguaçu;MG;Privada;1;540.7;648.2;551.1;695.3;880.0;663.06
19;Porteirinha;MG;Privada;2;629.45;653.3;603.95;696.6;730.0;662.66
20;Rio Tinto;PB;Privada;10;601.79;642.74;577.27;634.33;852.0;661.63
21;Juruti;PA;Privada;10;608.92;624.43;580.47;625.13;860.0;659.79
22;Saudade do Iguaçu;PR;Estadual;1;597.3;632.2;611.4;697.2;760.0;659.62
23;Cachoeiro de Itapemirim;ES;Federal;75;593.54;625.84;614.07;694.6;768.8;659.37
24;Giruá;RS;Privada;1;586.3;647.9;555.8;626.6;880.0;659.32
25;Guarapari;ES;Federal;98;593.57;622.84;587.7;696.48;789.59;658.04
26;Nova Era;MG;Privada;13;579.57;628.25;602.15;683.21;795.38;657.71
27;Santa Maria;RS;Federal;162;589.19;626.07;594.6;685.45;792.59;657.58
28;Papagaios;MG;Privada;5;573.8;620.44;594.4;670.1;828.0;657.35
29;Montes Claros;MG;Federal;65;580.52;608.79;594.77;685.08;815.38;656.91
30;Ivinhema;MS;Privada;2;599.4;603.45;582.4;646.6;850.0;656.37
31;Medianeira;PR;Privada;30;579.49;635.7;580.95;693.67;791.33;656.23
32;São Carlos;SP;Municipal;1;569.7;607.8;553.0;646.0;900.0;655.3
33;Paraisópolis;MG;Privada;35;583.01;613.05;570.34;688.51;819.43;654.87
34;Contagem;MG;Federal;67;587.61;627.37;596.06;675.02;786.27;654.47
