POSICAO;CO_ESCOLA;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1;23246871.0;Fortaleza;CE;Privada;Urbana;32;693.97;739.75;767.16;897.45;908.12;801.29
2;23246847.0;Fortaleza;CE;Privada;Urbana;30;683.6;725.76;744.18;906.97;906.0;793.3
3;23246880.0;Fortaleza;CE;Privada;Urbana;34;674.04;714.28;745.97;880.02;882.35;779.33
4;22144714.0;Teresina;PI;Privada;Urbana;22;681.97;689.63;738.5;865.42;893.64;773.83
5;23235543.0;Fortaleza;CE;Privada;Urbana;31;675.91;713.6;714.36;844.79;880.0;765.73
6;35399197.0;São Paulo;SP;Privada;Urbana;42;670.7;692.73;723.09;871.56;861.43;763.9
7;35563006.0;São Paulo;SP;Privada;Urbana;30;665.38;689.16;717.46;870.74;868.67;762.28
8;60006573.0;João Pessoa;PB;Privada;Urbana;1;670.1;660.3;676.1;863.8;940.0;762.06
9;15167275.0;Belém;PA;Privada;Urbana;38;658.84;679.53;704.02;843.12;915.26;760.15
10;33184739.0;Rio de Janeiro;RJ;Privada;Urbana;14;662.29;679.42;694.68;875.88;884.29;759.31
11;33165920.0;Niterói;RJ;Privada;Urbana;29;665.21;688.54;698.86;833.4;908.28;758.86
12;22025740.0;Teresina;PI;Privada;Urbana;188;663.09;681.97;696.9;847.35;871.28;752.12
13;31004812.0;Belo Horizonte;MG;Privada;Urbana;177;661.3;685.37;692.7;845.37;872.32;751.41
14;23272333.0;Fortaleza;CE;Privada;Urbana;33;669.21;684.8;688.65;828.95;882.42;750.81
15;23245573.0;Fortaleza;CE;Privada;Urbana;37;657.74;675.6;702.84;850.62;856.76;748.71
16;15181081.0;Belém;PA;Privada;Urbana;26;647.09;681.7;675.7;834.47;898.46;747.48
17;53020570.0;Brasília;DF;Privada;Urbana;179;658.61;677.0;693.73;828.97;877.32;747.13
18;31349720.0;Ipatinga;MG;Privada;Urbana;48;646.61;674.88;697.49;819.46;894.17;746.52
19;31351725.0;Belo Horizonte;MG;Privada;Urbana;30;665.71;697.55;692.7;819.45;856.0;746.28
20;15172287.0;Belém;PA;Privada;Urbana;34;660.22;685.73;680.44;807.93;874.12;741.69
21;33135827.0;Rio de Janeiro;RJ;Privada;Urbana;31;655.57;672.95;687.33;819.8;867.74;740.68
22;22164219.0;Teresina;PI;Privada;Urbana;33;643.68;663.79;663.01;793.17;922.42;737.22
23;26189569.0;Recife;PE;Privada;Urbana;70;656.48;667.2;674.67;806.36;878.29;736.6
24;26534711.0;Recife;PE;Privada;Urbana;132;653.4;669.61;670.32;811.59;877.12;736.41
25;50032895.0;Dourados;MS;Privada;Urbana;15;639.39;666.72;690.53;803.71;881.33;736.34
26;31350664.0;Belo Horizonte;MG;Privada;Urbana;311;653.57;674.17;677.55;805.75;866.62;735.53
27;35286187.0;Valinhos;SP;Privada;Urbana;129;648.79;669.05;682.77;814.04;860.0;734.93
28;15535282.0;Xinguara;PA;Estadual;Urbana;1;660.8;686.6;698.5;784.0;840.0;733.98
29;31354562.0;Uberaba;MG;Privada;Urbana;31;646.01;673.95;683.05;783.49;882.58;733.82
30;35141240.0;São Paulo;SP;Privada;Urbana;61;653.79;684.54;687.71;787.07;850.82;732.79
31;29485541.0;Salvador;BA;Privada;Urbana;168;650.83;672.6;685.41;793.66;857.62;732.02
32;22129529.0;Teresina;PI;Privada;Urbana;34;643.35;643.66;670.28;807.44;894.12;731.77
33;35126974.0;Mogi das Cruzes;SP;Privada;Urbana;35;652.39;671.27;682.63;805.77;839.43;730.3
34;31004031.0;Belo Horizonte;MG;Privada;Urbana;68;650.09;652.66;654.92;815.59;875.88;729.83
35;22209603.0;Picos;PI;Privada;Urbana;18;645.53;671.89;671.23;800.77;855.56;729.0
36;26137631.0;Recife;PE;Privada;Urbana;153;646.05;651.99;664.52;805.51;876.08;728.83
37;33062633.0;Rio de Janeiro;RJ;Privada;Urbana;68;646.19;675.39;670.37;808.83;842.06;728.57
38;53056000.0;Brasília;DF;Privada;Urbana;90;653.31;673.98;663.37;775.68;876.22;728.51
39;33055866.0;Niterói;RJ;Privada;Urbana;10;628.43;648.61;656.17;777.25;932.0;728.49
40;22027173.0;Teresina;PI;Privada;Urbana;13;642.12;672.73;665.71;772.35;889.23;728.43
41;31128074.0;Viçosa;MG;Federal;Urbana;159;641.1;658.99;668.89;802.64;868.68;728.06
